state,x,y
Arunachal Pradesh,248,126
Assam,214,76
Andhra Pradesh,-103,-192
Bihar,52,63
Chattisgarh,-38,-49
Gujrat,-266,-18
Haryana,-156,147
Himachal Pradesh,-133,209
Jammu Kashmir,-161,291
Jharkhand,-33,-11
Karnataka,-169,-208
Kerala,-160,-286
Manipur,232,40
Meghalaya,168,55
Mizoram,209,-2
Maharastra,-184,-97
Madhya Pradesh,-112,-1
Nagaland,244,71
Orissa,27,-55
Punjab,-174,190
Rajasthan,-214,87
Sikkim,112,106
Tripura,180,11
Tamil Nadu,-109,-281
Telengana,-95,-126
Uttar Pradesh,-56,90
Uttarakhand,-92,170
West Bengal,96,-2
